id_material,mes_anio,demanda_mensual,reposicion_mensual,stock_actual_fin_mes,stock_minimo,costo_unitario
1000,2018-01,211,85,799,32,1.03
1000,2018-02,341,181,799,32,1.03
1000,2018-03,145,115,799,32,1.03
1000,2018-04,150,150,799,32,1.03
1000,2018-05,70,107,799,32,1.03
1000,2018-06,191,232,799,32,1.03
1000,2018-07,173,182,799,32,1.03
1000,2018-08,92,250,799,32,1.03
1000,2018-09,263,295,799,32,1.03
1000,2018-10,187,242,799,32,1.03
1000,2018-11,259,101,799,32,1.03
1000,2018-12,196,151,799,32,1.03
1000,2019-01,127,147,799,32,1.03
1000,2019-02,223,124,799,32,1.03
1000,2019-03,184,173,799,32,1.03
1000,2019-04,233,244,799,32,1.03
1000,2019-05,174,161,799,32,1.03
1000,2019-06,37,41,799,32,1.03
1000,2019-07,149,108,799,32,1.03
1000,2019-08,137,137,799,32,1.03
1000,2019-09,97,97,799,32,1.03
1000,2019-10,103,150,799,32,1.03
1000,2019-11,145,145,799,32,1.03
1000,2019-12,117,110,799,32,1.03
1000,2020-01,187,163,799,32,1.03
1000,2020-02,117,261,799,32,1.03
1000,2020-03,214,54,799,32,1.03
1000,2020-04,22,48,799,32,1.03
1000,2020-05,157,222,799,32,1.03
1000,2020-06,219,216,799,32,1.03
1000,2020-07,191,103,799,32,1.03
1000,2020-08,139,200,799,32,1.03
1000,2020-09,180,306,799,32,1.03
1000,2020-10,238,51,799,32,1.03
1000,2020-11,39,132,799,32,1.03
1000,2020-12,233,197,799,32,1.03
1000,2021-01,125,96,799,32,1.03
1000,2021-02,141,405,799,32,1.03
1000,2021-03,195,134,799,32,1.03
1000,2021-04,177,194,799,32,1.03
1000,2021-05,219,97,799,32,1.03
1000,2021-06,145,91,799,32,1.03
1000,2021-07,203,245,799,32,1.03
1000,2021-08,161,168,799,32,1.03
1000,2021-09,194,89,799,32,1.03
1000,2021-10,209,255,799,32,1.03
1000,2021-11,180,212,799,32,1.03
1000,2021-12,160,195,799,32,1.03
1000,2022-01,230,101,799,32,1.03
1000,2022-02,125,193,799,32,1.03
1000,2022-03,167,108,799,32,1.03
1000,2022-04,166,157,799,32,1.03
1000,2022-05,142,142,799,32,1.03
1000,2022-06,101,101,799,32,1.03
1000,2022-07,89,91,799,32,1.03
1000,2022-08,91,129,799,32,1.03
1000,2022-09,122,204,799,32,1.03
1000,2022-10,122,0,780,32,1.03
1000,2022-11,51,51,799,32,1.03
1000,2023-01,123,257,799,32,1.03
1000,2023-02,155,213,799,32,1.03
1000,2023-03,301,109,799,32,1.03
1000,2023-04,91,110,799,32,1.03
1000,2023-05,212,209,799,32,1.03
1000,2023-06,69,53,799,32,1.03
1000,2023-07,142,165,799,32,1.03
1000,2023-08,189,384,799,32,1.03
1000,2023-09,304,86,799,32,1.03
1000,2023-10,104,113,799,32,1.03
1000,2023-11,121,177,799,32,1.03
1000,2023-12,157,92,799,32,1.03
1000,2024-01,101,152,799,32,1.03
1000,2024-02,160,133,799,32,1.03
1000,2024-03,76,96,799,32,1.03
1000,2024-04,132,109,799,32,1.03
1000,2024-05,67,46,799,32,1.03
1000,2024-06,182,257,799,32,1.03
1000,2024-07,223,148,799,32,1.03
1000,2024-08,226,258,799,32,1.03
1000,2024-09,76,61,799,32,1.03
1000,2024-10,229,261,799,32,1.03
1000,2024-11,174,141,799,32,1.03
1000,2024-12,112,96,799,32,1.03
1000,2025-01,140,284,799,32,1.03
1000,2025-02,178,194,799,32,1.03
1000,2025-03,284,124,799,32,1.03
1000,2025-04,128,161,799,32,1.03
1000,2025-05,136,103,799,32,1.03
1000,2025-06,160,248,799,32,1.03
1000,2025-07,150,87,799,32,1.03
1000,2025-08,180,155,799,32,1.03
1000,2025-09,49,49,799,32,1.03
1000,2025-10,112,112,799,32,1.03
1001,2018-01,123,139,592,33,8.30
1001,2018-02,160,149,592,33,8.30
1001,2018-03,251,50,592,33,8.30
1001,2018-04,112,240,592,33,8.30
1001,2018-05,234,89,592,33,8.30
1001,2018-06,194,206,592,33,8.30
1001,2018-07,182,141,592,33,8.30
1001,2018-08,163,264,592,33,8.30
1001,2018-09,229,160,592,33,8.30
1001,2018-10,170,245,592,33,8.30
1001,2018-11,209,191,592,33,8.30
1001,2018-12,137,132,592,33,8.30
1001,2019-01,229,52,592,33,8.30
1001,2019-02,231,114,592,33,8.30
1001,2019-03,173,132,592,33,8.30
1001,2019-04,119,128,592,33,8.30
1001,2019-05,97,88,592,33,8.30
1001,2019-06,58,91,592,33,8.30
1001,2019-07,137,203,592,33,8.30
1001,2019-08,212,201,592,33,8.30
