id_movimiento,id_material,id_usuario,fecha,tipo_movimiento,cantidad,stock_resultante,observaciones,tipo,stock_minimo,ubicacion
39201,1034,1001,01/01/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39200,1034,1000,03/01/2018,Salida,25,792,"Salida simulada",HFC,35,Almacen 2
39199,1034,1001,08/01/2018,Salida,29,792,"Salida simulada",HFC,35,Almacen 2
8983,1034,1000,10/01/2018,Entrada,41,812,"Ingreso simulado",HFC,35,Almacen 2
39198,1034,1001,13/01/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39197,1034,1001,19/01/2018,Salida,23,792,"Salida simulada",HFC,35,Almacen 2
39196,1034,1000,20/01/2018,Salida,24,792,"Salida simulada",HFC,35,Almacen 2
39195,1034,1000,22/01/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39194,1034,1000,23/01/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39193,1034,1000,27/01/2018,Salida,18,792,"Salida simulada",HFC,35,Almacen 2
39192,1034,1001,30/01/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
8982,1034,1000,02/02/2018,Entrada,41,812,"Ingreso simulado",HFC,35,Almacen 2
39191,1034,1000,03/02/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39190,1034,1001,04/02/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
8981,1034,1001,06/02/2018,Entrada,55,812,"Ingreso simulado",HFC,35,Almacen 2
39189,1034,1000,07/02/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
39188,1034,1001,09/02/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
39187,1034,1001,12/02/2018,Salida,21,792,"Salida simulada",HFC,35,Almacen 2
39186,1034,1000,13/02/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
8980,1034,1000,18/02/2018,Entrada,48,812,"Ingreso simulado",HFC,35,Almacen 2
39185,1034,1001,20/02/2018,Salida,15,792,"Salida simulada",HFC,35,Almacen 2
39184,1034,1001,22/02/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
39183,1034,1001,23/02/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
39182,1034,1001,25/02/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
39181,1034,1001,28/02/2018,Salida,25,792,"Salida simulada",HFC,35,Almacen 2
39180,1034,1000,01/03/2018,Salida,25,792,"Salida simulada",HFC,35,Almacen 2
39179,1034,1000,04/03/2018,Salida,16,792,"Salida simulada",HFC,35,Almacen 2
39178,1034,1000,10/03/2018,Salida,27,792,"Salida simulada",HFC,35,Almacen 2
39177,1034,1000,16/03/2018,Salida,30,792,"Salida simulada",HFC,35,Almacen 2
39176,1034,1001,22/03/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39175,1034,1000,25/03/2018,Salida,23,792,"Salida simulada",HFC,35,Almacen 2
39174,1034,1000,26/03/2018,Salida,18,792,"Salida simulada",HFC,35,Almacen 2
39173,1034,1001,28/03/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39172,1034,1000,29/03/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
39171,1034,1000,01/04/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39170,1034,1001,02/04/2018,Salida,8,792,"Salida simulada",HFC,35,Almacen 2
8979,1034,1001,19/04/2018,Entrada,54,812,"Ingreso simulado",HFC,35,Almacen 2
39169,1034,1001,20/04/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
8978,1034,1001,20/04/2018,Entrada,53,812,"Ingreso simulado",HFC,35,Almacen 2
39168,1034,1001,22/04/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
39167,1034,1001,23/04/2018,Salida,21,792,"Salida simulada",HFC,35,Almacen 2
39166,1034,1001,27/04/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
8977,1034,1000,28/04/2018,Entrada,43,812,"Ingreso simulado",HFC,35,Almacen 2
39165,1034,1001,01/05/2018,Salida,16,792,"Salida simulada",HFC,35,Almacen 2
39164,1034,1001,03/05/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
39163,1034,1001,04/05/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
39162,1034,1001,05/05/2018,Salida,16,792,"Salida simulada",HFC,35,Almacen 2
8976,1034,1000,07/06/2018,Entrada,52,812,"Ingreso simulado",HFC,35,Almacen 2
39161,1034,1000,09/06/2018,Salida,18,792,"Salida simulada",HFC,35,Almacen 2
39160,1034,1000,10/06/2018,Salida,16,792,"Salida simulada",HFC,35,Almacen 2
8975,1034,1001,10/06/2018,Entrada,43,812,"Ingreso simulado",HFC,35,Almacen 2
8974,1034,1000,12/06/2018,Entrada,51,812,"Ingreso simulado",HFC,35,Almacen 2
39159,1034,1001,13/06/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39158,1034,1000,15/06/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
39157,1034,1000,19/06/2018,Salida,16,792,"Salida simulada",HFC,35,Almacen 2
39156,1034,1000,20/06/2018,Salida,30,792,"Salida simulada",HFC,35,Almacen 2
39155,1034,1000,22/06/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
39154,1034,1001,24/06/2018,Salida,16,792,"Salida simulada",HFC,35,Almacen 2
8973,1034,1001,26/06/2018,Entrada,51,812,"Ingreso simulado",HFC,35,Almacen 2
39153,1034,1000,27/06/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
39152,1034,1000,28/06/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39151,1034,1000,29/06/2018,Salida,9,792,"Salida simulada",HFC,35,Almacen 2
39150,1034,1000,17/07/2018,Salida,18,792,"Salida simulada",HFC,35,Almacen 2
8972,1034,1001,17/07/2018,Entrada,63,812,"Ingreso simulado",HFC,35,Almacen 2
39149,1034,1000,18/07/2018,Salida,21,792,"Salida simulada",HFC,35,Almacen 2
39148,1034,1000,21/07/2018,Salida,23,792,"Salida simulada",HFC,35,Almacen 2
39147,1034,1001,23/07/2018,Salida,1,792,"Salida simulada",HFC,35,Almacen 2
39146,1034,1001,25/07/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
8971,1034,1001,25/07/2018,Entrada,31,812,"Ingreso simulado",HFC,35,Almacen 2
8970,1034,1001,26/07/2018,Entrada,47,812,"Ingreso simulado",HFC,35,Almacen 2
39145,1034,1000,29/07/2018,Salida,24,792,"Salida simulada",HFC,35,Almacen 2
39144,1034,1000,01/08/2018,Salida,18,792,"Salida simulada",HFC,35,Almacen 2
39143,1034,1001,02/08/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
8969,1034,1001,10/08/2018,Entrada,51,812,"Ingreso simulado",HFC,35,Almacen 2
39142,1034,1000,12/08/2018,Salida,21,792,"Salida simulada",HFC,35,Almacen 2
39141,1034,1000,14/08/2018,Salida,24,792,"Salida simulada",HFC,35,Almacen 2
39140,1034,1001,17/08/2018,Salida,6,792,"Salida simulada",HFC,35,Almacen 2
8968,1034,1000,24/08/2018,Entrada,48,812,"Ingreso simulado",HFC,35,Almacen 2
39139,1034,1000,28/08/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39138,1034,1001,29/08/2018,Salida,18,792,"Salida simulada",HFC,35,Almacen 2
8967,1034,1001,29/08/2018,Entrada,52,812,"Ingreso simulado",HFC,35,Almacen 2
8966,1034,1000,30/08/2018,Entrada,58,812,"Ingreso simulado",HFC,35,Almacen 2
39137,1034,1000,01/09/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
39136,1034,1000,04/09/2018,Salida,21,792,"Salida simulada",HFC,35,Almacen 2
39135,1034,1001,06/09/2018,Salida,12,792,"Salida simulada",HFC,35,Almacen 2
8965,1034,1001,06/09/2018,Entrada,54,812,"Ingreso simulado",HFC,35,Almacen 2
39134,1034,1000,11/09/2018,Salida,17,792,"Salida simulada",HFC,35,Almacen 2
39133,1034,1000,13/09/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
39132,1034,1001,17/09/2018,Salida,13,792,"Salida simulada",HFC,35,Almacen 2
39131,1034,1001,18/09/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39130,1034,1000,20/09/2018,Salida,21,792,"Salida simulada",HFC,35,Almacen 2
39129,1034,1000,21/09/2018,Salida,31,792,"Salida simulada",HFC,35,Almacen 2
39128,1034,1000,22/09/2018,Salida,6,792,"Salida simulada",HFC,35,Almacen 2
8964,1034,1000,23/09/2018,Entrada,60,812,"Ingreso simulado",HFC,35,Almacen 2
39127,1034,1001,25/09/2018,Salida,19,792,"Salida simulada",HFC,35,Almacen 2
39126,1034,1000,27/09/2018,Salida,24,792,"Salida simulada",HFC,35,Almacen 2
8963,1034,1001,30/09/2018,Entrada,49,812,"Ingreso simulado",HFC,35,Almacen 2
8962,1034,1000,07/10/2018,Entrada,44,812,"Ingreso simulado",HFC,35,Almacen 2
39125,1034,1001,08/10/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39124,1034,1001,12/10/2018,Salida,24,792,"Salida simulada",HFC,35,Almacen 2
39123,1034,1000,13/10/2018,Salida,15,792,"Salida simulada",HFC,35,Almacen 2
39122,1034,1001,17/10/2018,Salida,25,792,"Salida simulada",HFC,35,Almacen 2
39121,1034,1000,18/10/2018,Salida,14,792,"Salida simulada",HFC,35,Almacen 2
39120,1034,1000,25/10/2018,Salida,12,792,"Salida simulada",HFC,35,Almacen 2
39119,1034,1001,03/11/2018,Salida,22,792,"Salida simulada",HFC,35,Almacen 2
8961,1034,1000,03/11/2018,Entrada,47,812,"Ingreso simulado",HFC,35,Almacen 2
8960,1034,1001,04/11/2018,Entrada,42,812,"Ingreso simulado",HFC,35,Almacen 2
39118,1034,1000,05/11/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
39117,1034,1000,06/11/2018,Salida,20,792,"Salida simulada",HFC,35,Almacen 2
8959,1034,1001,17/11/2018,Entrada,58,812,"Ingreso simulado",HFC,35,Almacen 2
